iter	Passed	Remaining
0	71	71406
1	76	38137
2	80	26748
3	84	21017
4	89	17730
5	93	15411
6	96	13692
7	99	12379
8	104	11487
9	108	10703
10	111	10041
11	115	9468
12	118	8995
13	122	8618
14	125	8260
15	128	7914
16	132	7635
17	135	7393
18	139	7190
19	142	6974
20	145	6785
21	148	6598
22	151	6449
23	154	6300
24	157	6160
25	161	6036
26	164	5930
27	167	5827
28	171	5741
29	174	5655
30	178	5564
31	181	5496
32	185	5437
33	189	5380
34	192	5303
35	195	5233
36	198	5168
37	202	5117
38	205	5071
39	208	5012
40	211	4958
41	215	4909
42	218	4866
43	221	4822
44	224	4773
45	227	4727
46	230	4682
47	234	4643
48	237	4613
49	240	4573
50	243	4534
51	246	4497
52	249	4466
53	253	4445
54	256	4407
55	260	4389
56	263	4358
57	266	4330
58	269	4297
59	272	4266
60	275	4237
61	278	4211
62	281	4182
63	284	4157
64	288	4143
65	290	4115
66	293	4091
67	297	4072
68	300	4048
69	302	4020
70	305	3995
71	307	3968
72	316	4015
73	319	3994
74	322	3973
75	325	3953
76	328	3933
77	331	3916
78	334	3899
79	338	3887
80	341	3869
81	343	3850
82	346	3831
83	350	3818
84	353	3802
85	355	3782
86	358	3764
87	361	3750
88	364	3734
89	367	3716
90	370	3700
91	373	3684
92	376	3671
93	379	3660
94	383	3648
95	386	3635
96	389	3622
97	392	3608
98	395	3597
99	398	3584
100	401	3572
101	404	3560
102	407	3547
103	410	3535
104	413	3525
105	416	3515
106	419	3504
107	422	3491
108	425	3479
109	429	3472
110	432	3463
111	435	3456
112	438	3445
113	441	3434
114	445	3426
115	448	3418
116	451	3405
117	454	3397
118	457	3385
119	460	3379
120	464	3371
121	466	3360
122	469	3350
123	472	3340
124	476	3336
125	479	3327
126	482	3319
127	486	3314
128	489	3305
129	492	3295
130	496	3291
131	499	3284
132	502	3275
133	505	3268
134	508	3257
135	511	3249
136	514	3240
137	517	3233
138	520	3225
139	523	3215
140	526	3210
141	530	3203
142	533	3197
143	536	3187
144	538	3178
145	542	3171
146	545	3165
147	548	3156
148	550	3146
149	553	3137
150	556	3127
151	566	3158
152	569	3151
153	572	3144
154	575	3135
155	578	3129
156	581	3123
157	584	3115
158	587	3106
159	590	3100
160	593	3092
161	597	3088
162	599	3080
163	602	3073
164	605	3065
165	608	3058
166	611	3050
167	614	3044
168	618	3038
169	621	3032
170	624	3025
171	627	3019
172	630	3014
173	633	3007
174	636	2999
175	639	2991
176	642	2985
177	645	2978
178	648	2973
179	651	2967
180	654	2960
181	657	2954
182	660	2950
183	663	2944
184	666	2937
185	669	2930
186	673	2927
187	676	2922
188	680	2918
189	684	2916
190	687	2911
191	690	2905
192	693	2901
193	696	2893
194	699	2887
195	702	2880
196	706	2878
197	709	2873
198	712	2868
199	715	2863
200	718	2857
201	722	2854
202	725	2849
203	729	2845
204	732	2840
205	735	2834
206	738	2829
207	741	2824
208	745	2821
209	748	2816
210	751	2809
211	754	2804
212	757	2799
213	761	2796
214	764	2791
215	767	2786
216	770	2780
217	773	2775
218	777	2771
219	780	2766
220	783	2760
221	786	2758
222	789	2752
223	793	2748
224	796	2744
225	799	2738
226	802	2731
227	809	2742
228	814	2741
229	817	2735
230	820	2731
231	823	2726
232	827	2723
233	830	2719
234	833	2713
235	836	2708
236	839	2702
237	843	2699
238	846	2695
239	849	2689
240	852	2686
241	855	2680
242	859	2676
243	862	2672
244	865	2666
245	868	2661
246	871	2656
247	874	2652
248	878	2650
249	881	2645
250	884	2640
251	889	2638
252	893	2636
253	895	2631
254	899	2626
255	902	2623
256	906	2620
257	909	2616
258	913	2612
259	916	2607
